Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,2019-09-04 19:09:07,false,"Running","1.11","92","00:09:32.8","166","176","2.4","173","184","8:35","7:49","--","--","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:03.70","2","0.0"
running,2019-09-04 18:28:10,false,"New York Running","3.51","232","00:22:40","179","197","4.0","176","203","6:27","4:57","--","--","1.41","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:17.41","27","0.0"
running,2019-09-04 18:05:08,false,"New York Running","1.44","111","00:12:26","155","170","2.4","167","235","8:38","7:07","--","--","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:10.07","2","0.0"
running,2019-09-03 18:33:44,false,"New York Running","5.01","360","00:37:56","165","182","4.0","173","193","7:34","6:40","166","143","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.43","6","0.0"
running,2019-09-02 18:33:11,false,"New York Running","4.01","299","00:34:23","153","184","3.3","170","181","8:35","7:19","78","70","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.43","5","0.0"
running,2019-09-01 12:04:16,false,"New York Running","4.61","328","00:35:40","162","189","3.8","174","200","7:44","6:02","7","23","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:23.74","5","0.0"
running,2019-09-01 09:30:11,false,"Running","0.21","12","00:01:40.9","135","150","1.1","177","191","7:50","7:27","--","--","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-08-29 09:51:33,false,"Amsterdam Running","1.01","82","00:08:03.6","175","187","2.6","177","187","8:01","7:01","21","--","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.50","2","0.0"
running,2019-08-29 09:16:18,false,"Amsterdam Running","4.01","281","00:29:51","169","196","4.0","178","202","7:27","5:25","5","27","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:16.28","28","0.0"
running,2019-08-28 20:41:32,false,"Amsterdam Running","3.12","226","00:28:15","143","157","2.8","176","191","9:04","7:55","29","37","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:06.81","4","0.0"
running,2019-08-27 08:42:07,false,"Utrecht Running","3.41","252","00:30:47","147","165","3.0","180","194","9:01","7:56","--","--","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:57.18","4","0.0"
running,2019-08-26 08:56:02,false,"Utrecht Running","3.91","282","00:30:24","166","191","3.8","177","200","7:46","6:58","23","21","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:38.43","4","0.0"
running,2019-08-25 18:40:07,false,"Utrecht Running","6.01","472","00:56:11","153","178","3.5","176","242","9:21","7:35","29","34","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:07.100","7","0.0"
running,2019-08-23 17:24:36,false,"New York Running","3.71","295","00:31:23","164","194","3.6","174","241","8:27","6:27","16","23","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:26.01","4","0.0"
running,2019-08-22 09:41:41,false,"New York Running","0.81","67","00:07:15.2","160","170","2.1","175","183","8:58","8:19","--","18","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-08-22 08:54:42,false,"New York Running","4.26","289","00:30:24","168","180","3.8","176","192","7:08","6:24","157","112","1.28","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.54","9","0.0"
running,2019-08-20 19:04:18,false,"New York Running","1.51","116","00:12:41","161","171","2.6","172","192","8:24","7:32","16","--","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:09.47","2","0.0"
running,2019-08-20 18:51:59,false,"New York Running","1.02","67","00:06:49.7","176","186","2.4","176","200","6:41","5:04","--","--","1.36","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:07.75","6","0.0"
running,2019-08-20 18:21:52,false,"New York Running","3.17","209","00:22:00","169","202","3.5","173","214","6:57","4:29","--","11","1.33","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.63","11","0.0"
running,2019-08-18 09:04:26,false,"New York Running","4.21","302","00:37:22","150","174","3.0","172","236","8:53","6:51","194","105","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:09.60","5","0.0"
running,2019-08-16 12:47:05,false,"New York Running","1.32","112","00:11:26","168","193","2.8","174","187","8:39","6:27","26","18","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:45.34","2","0.0"
running,2019-08-16 11:37:49,false,"New York Running","5.72","364","00:42:02","159","183","3.8","175","217","7:21","4:40","--","18","1.24","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:13.12","30","0.0"
running,2019-08-15 20:13:42,false,"New York Running","3.15","230","00:28:31","145","165","2.8","171","179","9:03","8:17","67","73","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:23.14","4","0.0"
running,2019-08-14 10:47:54,false,"New York Running","1.11","88","00:09:48.9","158","169","2.3","176","190","8:51","8:13","12","60","1.03","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:54.96","2","0.0"
running,2019-08-14 10:03:42,false,"New York Running","4.51","316","00:33:56","168","187","4.0","175","196","7:31","6:09","160","73","1.22","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.99","24","0.0"
running,2019-08-12 10:11:07,false,"New York Running","5.01","364","00:42:17","156","178","3.5","173","188","8:27","7:29","140","144","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.86","6","0.0"
running,2019-08-10 09:45:34,false,"New York Running","5.41","411","00:43:10","167","188","4.2","175","200","7:58","6:36","161","154","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:58.75","6","0.0"
running,2019-08-09 10:52:36,false,"New York Running","3.41","258","00:31:08","147","179","3.0","174","184","9:08","8:06","115","119","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","04:02.95","4","0.0"
running,2019-08-08 18:03:43,false,"New York Running","1.00","87","00:09:08.3","166","184","2.4","170","178","9:06","7:36","--","18","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.29","2","0.0"
running,2019-08-08 17:23:21,false,"New York Running","4.04","284","00:29:31","166","190","3.8","174","240","7:18","5:45","23","26","1.26","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:19.46","5","0.0"
running,2019-08-06 16:59:05,false,"New York Running","3.11","238","00:29:40","143","176","2.8","169","180","9:33","7:22","13","20","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:06.18","4","0.0"
running,2019-08-03 09:10:14,false,"New York Running","6.11","428","00:53:37","149","167","3.2","175","200","8:46","3:27","4,331","4,331","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:59.85","7","0.0"
running,2019-08-01 19:57:44,false,"New York Running","0.54","42","00:05:01.3","148","156","1.7","171","183","9:16","8:35","--","--","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
running,2019-08-01 19:35:45,false,"New York Running","1.04","86","00:09:12.0","164","175","2.4","169","179","8:53","6:42","--","--","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:20.67","2","0.0"
running,2019-08-01 19:05:05,false,"New York Running","4.02","288","00:28:52","174","189","4.2","172","192","7:11","5:16","--","--","1.30","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:26.30","14","0.0"
running,2019-07-30 11:47:57,false,"New York Running","2.21","162","00:16:52","169","193","3.2","176","194","7:38","6:09","--","61","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:29.50","5","0.0"
running,2019-07-30 11:26:18,false,"New York Running","2.03","156","00:17:42","158","186","3.0","172","188","8:43","6:23","143","51","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:06.16","5","0.0"
